TIGRFAM	link	mainrole	subrole	Name	Function	Isology_Type	EC_Number
TIGR02506	123	"Purines, pyrimidines, nucleosides, and nucleotides"	2`-Deoxyribonucleotide metabolism	NrdE_NrdA	"_ribonucleoside-diphosphate reductase, alpha subunit_"	equivalog	1.17.4.1
TIGR02508	187	Cellular processes	Pathogenesis	type_III_yscG	"_type III secretion protein, YscG family_"	equivalog	
TIGR02509	187	Cellular processes	Pathogenesis	type_III_yopR	"_type III secretion effector, YopR family_"	equivalog	
TIGR02510	123	"Purines, pyrimidines, nucleosides, and nucleotides"	2`-Deoxyribonucleotide metabolism	NrdE-prime	"_ribonucleoside-diphosphate reductase, alpha chain_"	equivalog	1.17.4.1
TIGR02515	91	Cell envelope	Surface structures	IV_pilus_PilQ	type IV pilus secretin PilQ	subfamily	
TIGR02516	187	Cellular processes	Pathogenesis	type_III_yscC	"_type III secretion outer membrane pore, YscC/HrcC family_"	equivalog	
TIGR02517	97	Protein fate	Protein and peptide secretion and trafficking	type_II_gspD	type II secretion system protein D	equivalog	
TIGR02519	91	Cell envelope	Surface structures	pilus_MshL	pilus (MSHA type) biogenesis protein MshL	equivalog	
TIGR02520	97	Protein fate	Protein and peptide secretion and trafficking	pilus_B_mal_scr	"_type IVB pilus formation outer membrane protein, R64 PilN family_"	equivalog	
TIGR02522	91	Cell envelope	Surface structures	pilus_cpaD	pilus (Caulobacter type) biogenesis lipoprotein CpaD	subfamily	
TIGR02523	91	Cell envelope	Surface structures	type_IV_pilV	type IV pilus modification protein PilV	equivalog	
TIGR02525	186	Mobile and extrachromosomal element functions	Plasmid functions	plasmid_TraJ	plasmid transfer ATPase TraJ	equivalog	
TIGR02528	109	Energy metabolism	Amino acids and amines	EutP	"_ethanolamine utilization protein, EutP_"	equivalog	
TIGR02530	188	Cellular processes	Chemotaxis and motility	flg_new	flagellar operon protein	hypoth_equivalog	
TIGR02531	157	Unknown function	General	yecD_yerC	TrpR homolog YerC/YecD	hypoth_equivalog	
TIGR02532	91	Cell envelope	Surface structures	IV_pilin_GFxxxE	prepilin-type N-terminal cleavage/methylation domain	domain	
TIGR02533	187	Cellular processes	Pathogenesis	type_II_gspE	type II secretion system protein E	equivalog	
TIGR02538	91	Cell envelope	Surface structures	type_IV_pilB	type IV-A pilus assembly ATPase PilB	equivalog	
TIGR02543	157	Unknown function	General	List_Bact_rpt	"_repeat, TIGR02543 family_"	domain	
TIGR02544	187	Cellular processes	Pathogenesis	III_secr_YscJ	"_type III secretion apparatus lipoprotein, YscJ/HrcJ family_"	equivalog	
TIGR02546	187	Cellular processes	Pathogenesis	III_secr_ATP	type III secretion apparatus H+-transporting two-sector ATPase	equivalog	3.6.3.14
TIGR02547	719	Uncategorized	Uncategorized	casA_cse1	CRISPR type I-E/ECOLI-associated protein CasA/Cse1	equivalog	
TIGR02548	719	Uncategorized	Uncategorized	casB_cse2	CRISPR type I-E/ECOLI-associated protein CasB/Cse2	equivalog	
TIGR02549	719	Uncategorized	Uncategorized	CRISPR_DxTHG	CRISPR-associated DxTHG motif protein	domain	
TIGR02550	188	Cellular processes	Chemotaxis and motility	flagell_flgL	flagellar hook-associated protein 3	equivalog	
TIGR02551	187	Cellular processes	Pathogenesis	SpaO_YscQ	"_type III secretion apparatus protein, YscQ/HrcQ family_"	equivalog	
TIGR02554	187	Cellular processes	Pathogenesis	PrgH	type III secretion apparatus protein PrgH/EprH	equivalog	
TIGR02556	719	Uncategorized	Uncategorized	cas_TM1802	"_CRISPR-associated protein, TM1802 family_"	hypoth_equivalog	
TIGR02562	719	Uncategorized	Uncategorized	cas3_yersinia	"_CRISPR-associated helicase Cas3, subtype I-F/YPEST_"	equivalog	
TIGR02563	719	Uncategorized	Uncategorized	cas_Csy4	"_CRISPR-associated endoribonuclease Cas6/Csy4, subtype I-F/YPEST_"	equivalog	3.1.-.-
TIGR02564	719	Uncategorized	Uncategorized	cas_Csy1	CRISPR type I-F/YPEST-associated protein Csy1	equivalog	
TIGR02565	719	Uncategorized	Uncategorized	cas_Csy2	CRISPR type I-F/YPEST-associated protein Csy2	equivalog	
TIGR02566	719	Uncategorized	Uncategorized	cas_Csy3	CRISPR type I-F/YPEST-associated protein Csy3	equivalog	
TIGR02568	187	Cellular processes	Pathogenesis	LcrE	type III secretion regulator YopN/LcrE/InvE/MxiC	equivalog	
TIGR02569	156	Hypothetical proteins	Conserved	TIGR02569_actnb	TIGR02569 family protein	hypoth_equivalog	
TIGR02570	719	Uncategorized	Uncategorized	cas7_GSU0053	"_CRISPR-associated protein GSU0053/csb1, Dpsyc system_"	equivalog_domain	
TIGR02572	97	Protein fate	Protein and peptide secretion and trafficking	LcrR	type III secretion system regulator LcrR	equivalog	
TIGR02574	708	Mobile and extrachromosomal element functions	Other	stabl_TIGR02574	"_putative addiction module component, TIGR02574 family_"	hypoth_equivalog	
TIGR02577	719	Uncategorized	Uncategorized	cas_TM1794_Cmr2	"_CRISPR-associated protein Cas10/Cmr2, subtype III-B_"	hypoth_equivalog	
TIGR02578	719	Uncategorized	Uncategorized	cas_TM1811_Csm1	"_CRISPR-associated protein Cas10/Csm1, subtype III-A/MTUBE_"	hypoth_equivalog	
TIGR02579	719	Uncategorized	Uncategorized	cas_csx3	"_CRISPR-associated protein, Csx3 family_"	hypoth_equivalog	
TIGR02580	719	Uncategorized	Uncategorized	cas_RAMP_Cmr4	CRISPR type III-B/RAMP module RAMP protein Cmr4	equivalog	
TIGR02581	719	Uncategorized	Uncategorized	cas_cyan_RAMP	"_CRISPR-associated RAMP protein, SSO1426 family_"	hypoth_equivalog	
TIGR02582	719	Uncategorized	Uncategorized	cas7_TM1809	CRISPR type III-A/MTUBE-associated RAMP protein Csm3	equivalog	
TIGR02583	719	Uncategorized	Uncategorized	DevR_archaea	"_CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN_"	exception	
TIGR02584	719	Uncategorized	Uncategorized	cas_NE0113	"_CRISPR-associated protein, NE0113 family_"	hypoth_equivalog	
TIGR02585	719	Uncategorized	Uncategorized	cas_Cst2_DevR	"_CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP_"	exception	
TIGR02586	719	Uncategorized	Uncategorized	cas5_cmx5_devS	"_CRISPR-associated protein Cas5/DevS, subtype MYXAN_"	exception	
TIGR02587	88	Cell envelope	Other	TIGR02587	putative integral membrane protein TIGR02587	hypoth_equivalog	
TIGR02588	156	Hypothetical proteins	Conserved	TIGR02588	TIGR02588 family protein	hypoth_equivalog	
TIGR02589	719	Uncategorized	Uncategorized	cas_Csd2	"_CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG_"	exception	
TIGR02590	719	Uncategorized	Uncategorized	cas_Csh2	"_CRISPR-associated protein Cas7/Csh2, subtype I-B/HMARI_"	exception	
TIGR02591	719	Uncategorized	Uncategorized	cas_Csh1	"_CRISPR-associated protein Cas8b/Csh1, subtype I-B/HMARI_"	hypoth_equivalog_domain	
TIGR02592	719	Uncategorized	Uncategorized	cas_Cas5h	"_CRISPR-associated protein Cas5, subtype I-B/HMARI_"	exception	
TIGR02593	719	Uncategorized	Uncategorized	CRISPR_cas5	CRISPR-associated protein Cas5	subfamily_domain	
TIGR02595	91	Cell envelope	Surface structures	PEP_exosort	PEP-CTERM protein-sorting domain	domain	
TIGR02596	91	Cell envelope	Surface structures	TIGR02596	Verru_Chthon cassette protein D	subfamily	
TIGR02598	91	Cell envelope	Surface structures	TIGR02598	Verru_Chthon cassette protein B	subfamily	
TIGR02599	91	Cell envelope	Surface structures	TIGR02599	Verru_Chthon cassette protein C	subfamily	
TIGR02600	91	Cell envelope	Surface structures	Verru_Chthon_A	Verru_Chthon cassette protein A	subfamily	
TIGR02601	187	Cellular processes	Pathogenesis	autotrns_rpt	autotransporter-associated beta strand repeat	repeat	
TIGR02602	97	Protein fate	Protein and peptide secretion and trafficking	8TM_EpsH	exosortase	subfamily	3.4.22.-
TIGR02605	261	Regulatory functions	DNA interactions	CxxC_CxxC_SSSS	"_putative regulatory protein, FmdB family_"	subfamily_domain	
TIGR02606	186	Mobile and extrachromosomal element functions	Plasmid functions	antidote_CC2985	"_putative addiction module antidote protein, CC2985 family_"	hypoth_equivalog	
TIGR02607	261	Regulatory functions	DNA interactions	antidote_HigA	"_addiction module antidote protein, HigA family_"	equivalog	
TIGR02609	708	Mobile and extrachromosomal element functions	Other	doc_partner	putative addiction module antidote	hypoth_equivalog	
TIGR02611	156	Hypothetical proteins	Conserved	TIGR02611	TIGR02611 family protein	hypoth_equivalog	
TIGR02612	157	Unknown function	General	mob_myst_A	mobile mystery protein A	hypoth_equivalog	
TIGR02614	93	Cellular processes	Cell division	ftsW	cell division protein FtsW	equivalog	
TIGR02615	705	Cellular processes	Sporulation and germination	spoVE	stage V sporulation protein E	exception	
TIGR02616	109	Energy metabolism	Amino acids and amines	tnaC_leader	tryptophanase leader peptide	equivalog	
TIGR02617	109	Energy metabolism	Amino acids and amines	tnaA_trp_ase	tryptophanase	equivalog	4.1.99.1
TIGR02618	109	Energy metabolism	Amino acids and amines	tyr_phenol_ly	tyrosine phenol-lyase	equivalog	4.1.99.2
TIGR02619	719	Uncategorized	Uncategorized	TIGR02619	"_putative CRISPR-associated protein, APE2256 family_"	domain	
TIGR02620	719	Uncategorized	Uncategorized	cas_VVA1548	"_putative CRISPR-associated protein, VVA1548 family_"	hypoth_equivalog_domain	
TIGR02621	719	Uncategorized	Uncategorized	cas3_GSU0051	"_CRISPR-associated helicase Cas3, subtype Dpsyc_"	exception	3.6.4.-
TIGR02622	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	CDP_4_6_dhtase	"_CDP-glucose 4,6-dehydratase_"	equivalog	4.2.1.45
TIGR02623	90	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides	G1P_cyt_trans	glucose-1-phosphate cytidylyltransferase	equivalog	2.7.7.33
TIGR02625	119	Energy metabolism	Sugars	YiiL_rotase	L-rhamnose mutarotase	equivalog	5.1.3.-
TIGR02628	119	Energy metabolism	Sugars	fuculo_kin_coli	L-fuculokinase	equivalog	2.7.1.51
TIGR02629	119	Energy metabolism	Sugars	L_rham_iso_rhiz	L-rhamnose catabolism isomerase	equivalog	5.3.1.-
TIGR02630	119	Energy metabolism	Sugars	xylose_isom_A	xylose isomerase	equivalog	5.3.1.5
TIGR02633	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	xylG	"_D-xylose ABC transporter, ATP-binding protein_"	equivalog	3.6.3.17
TIGR02634	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	xylF	"_D-xylose ABC transporter, D-xylose-binding protein_"	equivalog	
TIGR02635	119	Energy metabolism	Sugars	RhaI_grampos	L-rhamnose isomerase	hypoth_equivalog	5.3.1.14
TIGR02638	119	Energy metabolism	Sugars	lactal_redase	lactaldehyde reductase	equivalog	1.1.1.77
TIGR02639	138	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	equivalog	
TIGR02640	92	Cellular processes	Other	gas_vesic_GvpN	gas vesicle protein GvpN	equivalog	
TIGR02641	92	Cellular processes	Other	gvpC_cyan_rpt	gas vesicle protein GvpC repeat	equivalog_domain	
TIGR02642	152	Mobile and extrachromosomal element functions	Prophage functions	phage_xxxx	uncharacterized phage protein	hypoth_equivalog	
TIGR02643	122	"Purines, pyrimidines, nucleosides, and nucleotides"	Other	T_phosphoryl	thymidine phosphorylase	equivalog	2.4.2.4
TIGR02644	122	"Purines, pyrimidines, nucleosides, and nucleotides"	Other	Y_phosphoryl	pyrimidine-nucleoside phosphorylase	subfamily	2.4.2.2
TIGR02646	156	Hypothetical proteins	Conserved	TIGR02646	TIGR02646 family protein	hypoth_equivalog	
TIGR02647	156	Hypothetical proteins	Conserved	DNA	TIGR02647 family protein	hypoth_equivalog	
TIGR02648	132	DNA metabolism	"DNA replication, recombination, and repair"	rep_term_tus	DNA replication terminus site-binding protein	equivalog	
TIGR02649	166	Transcription	RNA processing	true_RNase_BN	ribonuclease BN	exception	3.1.-.-
TIGR02650	166	Transcription	RNA processing	RNase_Z_T_toga	"_ribonuclease Z, Thermotoga type_"	equivalog	3.1.26.11
TIGR02651	166	Transcription	RNA processing	RNase_Z	ribonuclease Z	equivalog	3.1.26.11
TIGR02652	156	Hypothetical proteins	Conserved	TIGR02652	TIGR02652 family protein	hypoth_equivalog	
TIGR02653	156	Hypothetical proteins	Conserved	Lon_rel_chp	conserved hypothetical protein	hypoth_equivalog	
TIGR02654	92	Cellular processes	Other	circ_KaiB	circadian clock protein KaiB	equivalog	
TIGR02655	92	Cellular processes	Other	circ_KaiC	circadian clock protein KaiC	equivalog	2.7.11.1
TIGR02656	164	Energy metabolism	Photosynthesis	cyanin_plasto	plastocyanin	equivalog	
TIGR02657	112	Energy metabolism	Electron transport	amicyanin	amicyanin	equivalog	
TIGR02658	109	Energy metabolism	Amino acids and amines	TTQ_MADH_Hv	methylamine dehydrogenase (amicyanin) heavy chain	equivalog	1.4.9.1
TIGR02659	109	Energy metabolism	Amino acids and amines	TTQ_MADH_Lt	methylamine dehydrogenase (amicyanin) light chain	equivalog	1.4.9.1
TIGR02660	179	Central intermediary metabolism	Nitrogen fixation	nifV_homocitr	homocitrate synthase	equivalog	2.3.3.14
TIGR02661	109	Energy metabolism	Amino acids and amines	MauD	methylamine dehydrogenase accessory protein MauD	equivalog	
TIGR02662	179	Central intermediary metabolism	Nitrogen fixation	dinitro_DRAG	ADP-ribosyl-[dinitrogen reductase] hydrolase	equivalog	3.2.2.24
TIGR02663	179	Central intermediary metabolism	Nitrogen fixation	nifX	nitrogen fixation protein NifX	equivalog	
TIGR02665	82	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	molyb_mobA	molybdenum cofactor guanylyltransferase	equivalog	2.7.7.77
TIGR02666	82	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	moaA	molybdenum cofactor biosynthesis protein A	equivalog	
TIGR02667	82	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	moaB_proteo	molybdenum cofactor biosynthesis protein B	equivalog	
TIGR02668	82	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Molybdopterin	moaA_archaeal	probable molybdenum cofactor biosynthesis protein A	hypoth_equivalog	
TIGR02669	157	Unknown function	General	SpoIID_LytB	SpoIID/LytB domain	domain	
TIGR02670	719	Uncategorized	Uncategorized	cas_csx8	"_CRISPR-associated protein Cas8a1/Csx8, subtype I_"	equivalog	
TIGR02671	719	Uncategorized	Uncategorized	cas_csx9	"_CRISPR-associated protein Cas8a2/Csx9, subtype I-A/APERN_"	equivalog	
TIGR02672	719	Uncategorized	Uncategorized	cas_csm6	CRISPR type III-A/MTUBE-associated protein Csm6	equivalog	
TIGR02673	93	Cellular processes	Cell division	FtsE	cell division ATP-binding protein FtsE	equivalog	
TIGR02674	719	Uncategorized	Uncategorized	cas_cyan_RAMP_2	"_CRISPR-associated RAMP protein, Csx10 family_"	hypoth_equivalog	
TIGR02677	156	Hypothetical proteins	Conserved	TIGR02677	TIGR02677 family protein	hypoth_equivalog	
TIGR02678	156	Hypothetical proteins	Conserved	TIGR02678	TIGR02678 family protein	hypoth_equivalog	
TIGR02679	156	Hypothetical proteins	Conserved	TIGR02679	TIGR02679 family protein	hypoth_equivalog	
TIGR02680	156	Hypothetical proteins	Conserved	TIGR02680	TIGR02680 family protein	hypoth_equivalog	
TIGR02681	152	Mobile and extrachromosomal element functions	Prophage functions	phage_pRha	"_phage regulatory protein, Rha family_"	subfamily	
TIGR02682	719	Uncategorized	Uncategorized	cas_csx11	"_CRISPR-associated protein, Csx11 family_"	hypoth_equivalog	
TIGR02684	708	Mobile and extrachromosomal element functions	Other	dnstrm_HI1420	probable addiction module antidote protein	hypoth_equivalog	
TIGR02686	186	Mobile and extrachromosomal element functions	Plasmid functions	relax_trwC	conjugative relaxase domain	domain	
TIGR02688	156	Hypothetical proteins	Conserved	TIGR02688	TIGR02688 family protein	hypoth_equivalog	
TIGR02689	96	Cellular processes	Detoxification	ars_reduc_gluta	"_arsenate reductase, glutathione/glutaredoxin type_"	equivalog	1.20.4.1
TIGR02690	96	Cellular processes	Detoxification	resist_ArsH	arsenical resistance protein ArsH	equivalog	
TIGR02691	96	Cellular processes	Detoxification	arsC_pI258_fam	arsenate reductase (thioredoxin)	equivalog	1.20.4.- 3.1.3.48
TIGR02692	168	Protein synthesis	tRNA and rRNA base modification	tRNA_CCA_actino	CCA tRNA nucleotidyltransferase	equivalog	2.7.7.72
TIGR02693	112	Energy metabolism	Electron transport	arsenite_ox_L	"_arsenite oxidase, large subunit_"	equivalog	1.20.9.1
TIGR02694	112	Energy metabolism	Electron transport	arsenite_ox_S	"_arsenite oxidase, small subunit_"	equivalog	1.20.9.1
TIGR02695	112	Energy metabolism	Electron transport	azurin	azurin	equivalog	
TIGR02697	708	Mobile and extrachromosomal element functions	Other	WPE_wolbac	Wolbachia palindromic element domain	domain	
TIGR02698	145	Transport and binding proteins	Cations and iron carrying compounds	CopY_TcrY	"_copper transport repressor, CopY/TcrY family_"	equivalog	
TIGR02699	112	Energy metabolism	Electron transport	archaeo_AfpA	archaeoflavoprotein AfpA	hypoth_equivalog	
TIGR02700	157	Unknown function	General	flavo_MJ0208	"_archaeoflavoprotein, MJ0208 family_"	hypoth_equivalog	
TIGR02701	698	Central intermediary metabolism	One-carbon metabolism	shell_carb_anhy	carboxysome shell carbonic anhydrase	equivalog	4.2.1.1
TIGR02702	261	Regulatory functions	DNA interactions	SufR_cyano	iron-sulfur cluster biosynthesis transcriptional regulator SufR	equivalog	
TIGR02703	698	Central intermediary metabolism	One-carbon metabolism	carboxysome_A	carboxysome peptide A	equivalog	
TIGR02704	698	Central intermediary metabolism	One-carbon metabolism	carboxysome_B	carboxysome peptide B	equivalog	
TIGR02705	132	DNA metabolism	"DNA replication, recombination, and repair"	nudix_YtkD	nucleoside triphosphatase YtkD	equivalog	3.6.1.-
TIGR02706	114	Energy metabolism	Fermentation	P_butyryltrans	phosphate butyryltransferase	equivalog	2.3.1.19
TIGR02707	114	Energy metabolism	Fermentation	butyr_kinase	butyrate kinase	equivalog	2.7.2.7
TIGR02708	184	Energy metabolism	Other	L_lactate_ox	L-lactate oxidase	equivalog	1.1.3.-
TIGR02709	109	Energy metabolism	Amino acids and amines	branched_ptb	branched-chain phosphotransacylase	equivalog	2.3.1.-
TIGR02710	719	Uncategorized	Uncategorized	TIGR02710	"_CRISPR-associated protein, TIGR02710 family_"	hypoth_equivalog	
TIGR02711	144	Transport and binding proteins	"Carbohydrates, organic alcohols, and acids"	symport_actP	cation/acetate symporter ActP	equivalog	
TIGR02712	160	Central intermediary metabolism	Nitrogen metabolism	urea_carbox	urea carboxylase	equivalog	6.3.4.6
TIGR02713	160	Central intermediary metabolism	Nitrogen metabolism	allophanate_hyd	allophanate hydrolase	equivalog	3.5.1.54
TIGR02715	703	Unknown function	Enzymes of unknown specificity	amido_AtzE	"_amidohydrolase, AtzE family_"	subfamily	3.-.-.-
TIGR02716	191	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Chlorophyll and bacteriochlorphyll	C20_methyl_CrtF	C-20 methyltransferase BchU	equivalog	2.1.1.-
TIGR02718	145	Transport and binding proteins	Cations and iron carrying compounds	sider_RhtX_FptX	"_siderophore transporter, RhtX/FptX family_"	subfamily	
TIGR02719	261	Regulatory functions	DNA interactions	repress_PhaQ	poly-beta-hydroxybutyrate-responsive repressor	equivalog	
TIGR02720	108	Energy metabolism	Aerobic	pyruv_oxi_spxB	pyruvate oxidase	equivalog	1.2.3.3
TIGR02721	162	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Thiamine	ycfN_thiK	thiamine kinase	equivalog	2.7.1.89
TIGR02722	88	Cell envelope	Other	lp_	uncharacterized lipoprotein	hypoth_equivalog	
TIGR02723	110	Energy metabolism	Anaerobic	phenyl_P_alpha	"_phenylphosphate carboxylase, alpha subunit_"	equivalog	4.1.1.-
TIGR02726	110	Energy metabolism	Anaerobic	phenyl_P_delta	"_phenylphosphate carboxylase, delta subunit_"	equivalog	
TIGR02727	698	Central intermediary metabolism	One-carbon metabolism	MTHFS_bact	5-formyltetrahydrofolate cyclo-ligase	equivalog	6.3.3.2
TIGR02728	705	Cellular processes	Sporulation and germination	spore_gerQ	spore coat protein GerQ	equivalog	
TIGR02729	136	Protein synthesis	Other	Obg_CgtA	Obg family GTPase CgtA	equivalog	
TIGR02730	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	carot_isom	carotene isomerase	equivalog	5.-.-.-
TIGR02731	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	phytoene_desat	phytoene desaturase	equivalog	1.14.99.-
TIGR02733	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	desat_CrtD	"_C-3`,4`` `desaturase CrtD_"	equivalog	1.3.99.-
TIGR02734	76	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Other	crtI_fam	phytoene desaturase	subfamily	1.14.99.-
TIGR02735	125	"Purines, pyrimidines, nucleosides, and nucleotides"	Purine ribonucleotide biosynthesis	purC_vibrio	phosphoribosylaminoimidazole-succinocarboxamide synthase	equivalog	6.3.2.6
TIGR02736	112	Energy metabolism	Electron transport	cbb3_Q_epsi	"_cytochrome c oxidase, cbb3-type, CcoQ subunit_"	equivalog	1.9.3.1
TIGR02748	81	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	GerC3_HepT	heptaprenyl diphosphate synthase component II	equivalog	2.5.1.30
TIGR02749	81	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	prenyl_cyano	solanesyl diphosphate synthase	equivalog	2.5.1.-
TIGR02751	184	Energy metabolism	Other	PEPCase_arch	phosphoenolpyruvate carboxylase	equivalog	4.1.1.31
TIGR02752	81	"Biosynthesis of cofactors, prosthetic groups, and carriers"	Menaquinone and ubiquinone	MenG_heptapren	demethylmenaquinone methyltransferase	equivalog	2.1.1.163
TIGR02754	96	Cellular processes	Detoxification	sod_Ni_protease	nickel-type superoxide dismutase maturation protease	equivalog	3.4.21.-
TIGR02757	156	Hypothetical proteins	Conserved	TIGR02757	TIGR02757 family protein	hypoth_equivalog	
TIGR02762	702	Cellular processes	Conjugation	TraL_TIGR	type IV conjugative transfer system protein TraL	equivalog	
TIGR02763	152	Mobile and extrachromosomal element functions	Prophage functions	chlamy_scaf	scaffolding protein	equivalog	
TIGR02764	705	Cellular processes	Sporulation and germination	spore_ybaN_pdaB	polysaccharide deacetylase family sporulation protein PdaB	equivalog	
TIGR02765	149	Cellular processes	Adaptations to atypical conditions	crypto_DASH	"_cryptochrome, DASH family_"	subfamily	
TIGR02769	145	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikE	nickel import ATP-binding protein NikE	equivalog	3.6.3.24
TIGR02770	145	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikD	nickel import ATP-binding protein NikD	equivalog	
TIGR02772	132	DNA metabolism	"DNA replication, recombination, and repair"	Ku_bact	Ku protein	equivalog	
TIGR02773	132	DNA metabolism	"DNA replication, recombination, and repair"	addB_Gpos	"_helicase-exonuclease AddAB, AddB subunit_"	equivalog	3.1.-.- 3.6.4.12
TIGR02774	132	DNA metabolism	"DNA replication, recombination, and repair"	rexB_recomb	ATP-dependent nuclease subunit B	equivalog	
TIGR02775	702	Cellular processes	Conjugation	TrbG_Ti	P-type conjugative transfer protein TrbG	equivalog	
TIGR02776	132	DNA metabolism	"DNA replication, recombination, and repair"	NHEJ_ligase_prk	DNA ligase D	equivalog	
TIGR02777	132	DNA metabolism	"DNA replication, recombination, and repair"	LigD_PE_dom	"_DNA ligase D, 3`-phosphoesterase domain_"	equivalog_domain	
TIGR02781	702	Cellular processes	Conjugation	VirB9	P-type conjugative transfer protein VirB9	equivalog	
TIGR02782	702	Cellular processes	Conjugation	TrbB_P	P-type conjugative transfer ATPase TrbB	equivalog	
TIGR02783	702	Cellular processes	Conjugation	TrbL_P	P-type conjugative transfer protein TrbL	equivalog	
TIGR02784	132	DNA metabolism	"DNA replication, recombination, and repair"	addA_alphas	double-strand break repair helicase AddA	equivalog	
TIGR02785	132	DNA metabolism	"DNA replication, recombination, and repair"	addA_Gpos	"_helicase-exonuclease AddAB, AddA subunit_"	equivalog	3.1.-.- 3.6.4.12
TIGR02786	132	DNA metabolism	"DNA replication, recombination, and repair"	addB_alphas	double-strand break repair protein AddB	equivalog	
TIGR02787	261	Regulatory functions	DNA interactions	codY_Gpos	GTP-sensing transcriptional pleiotropic repressor CodY	equivalog	
TIGR02789	145	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikB	"_nickel ABC transporter, permease subunit NikB_"	equivalog	3.6.3.24
TIGR02790	145	Transport and binding proteins	Cations and iron carrying compounds	nickel_nikC	"_nickel ABC transporter, permease subunit NikC_"	equivalog	3.6.3.24
TIGR02792	108	Energy metabolism	Aerobic	PCA_ligA	"_protocatechuate 4,5-dioxygenase, alpha subunit_"	equivalog	1.13.11.8
TIGR02793	261	Regulatory functions	DNA interactions	nikR	nickel-responsive transcriptional regulator NikR	equivalog	
TIGR02794	187	Cellular processes	Pathogenesis	tolA_full	protein TolA	equivalog	
TIGR02796	187	Cellular processes	Pathogenesis	tolQ	protein TolQ	equivalog	
TIGR02797	145	Transport and binding proteins	Cations and iron carrying compounds	exbB	tonB-system energizer ExbB	equivalog	
TIGR02800	187	Cellular processes	Pathogenesis	propeller_TolB	Tol-Pal system beta propeller repeat protein TolB	equivalog	
TIGR02801	187	Cellular processes	Pathogenesis	tolR	protein TolR	equivalog	
TIGR02805	145	Transport and binding proteins	Cations and iron carrying compounds	exbB2	tonB-system energizer ExbB	equivalog	
TIGR02806	187	Cellular processes	Pathogenesis	clostrip	clostripain	equivalog	3.4.22.8
TIGR02807	719	Uncategorized	Uncategorized	cas6_cmx6	"_CRISPR-associated protein Cas6, subtype MYXAN_"	equivalog	
TIGR02808	156	Hypothetical proteins	Conserved	short_TIGR02808	TIGR02808 family protein	hypoth_equivalog	
TIGR02810	119	Energy metabolism	Sugars	agaZ_gatZ	"_D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit_"	equivalog	4.1.2.40
TIGR02811	157	Unknown function	General	formate_TAT	formate dehydrogenase region TAT target	hypoth_equivalog	
TIGR02812	177	Fatty acid and phospholipid metabolism	Degradation	fadR_gamma	fatty acid metabolism transcriptional regulator FadR	equivalog	
TIGR02817	114	Energy metabolism	Fermentation	adh_fam_1	zinc-binding alcohol dehydrogenase family protein	subfamily	
TIGR02818	96	Cellular processes	Detoxification	adh_III_F_hyde	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	equivalog	1.1.1.284 1.1.1.1
TIGR02819	698	Central intermediary metabolism	One-carbon metabolism	fdhA_non_GSH	"_formaldehyde dehydrogenase, glutathione-independent_"	equivalog	1.2.1.46
TIGR02820	698	Central intermediary metabolism	One-carbon metabolism	formald_GSH	S-(hydroxymethyl)glutathione synthase	equivalog	4.4.1.22
TIGR02821	96	Cellular processes	Detoxification	fghA_ester_D	S-formylglutathione hydrolase	equivalog	3.1.2.12
TIGR02822	114	Energy metabolism	Fermentation	adh_fam_2	zinc-binding alcohol dehydrogenase family protein	subfamily	1.-.-.-
TIGR02823	703	Unknown function	Enzymes of unknown specificity	oxido_YhdH	"_putative quinone oxidoreductase, YhdH/YhfP family_"	subfamily	
TIGR02824	703	Unknown function	Enzymes of unknown specificity	quinone_pig3	"_putative NAD(P)H quinone oxidoreductase, PIG3 family_"	subfamily	
